Number #1;Formatted #1;Number #2;Formatted #2
"1111133683";"11-1113-3683";"1111133683";"11-1113-3683";
"1111133694";"11-1113-3694";"1111133694";"11-1113-3694";
"1111133705";"11-1113-3705";"1111133705";"11-1113-3705";
"1111133716";"11-1113-3716";"1111133716";"11-1113-3716";
"1111133727";"11-1113-3727";"1111133727";"11-1113-3727";
"1111133738";"11-1113-3738";"1111133738";"11-1113-3738";
"1111133749";"11-1113-3749";"1111133749";"11-1113-3749";
"1111133760";"11-1113-3760";"1111133760";"11-1113-3760";
"1111133771";"11-1113-3771";"1111133771";"11-1113-3771";
"1111133782";"11-1113-3782";"1111133782";"11-1113-3782";
"1111133793";"11-1113-3793";"1111133793";"11-1113-3793";
"1111133804";"11-1113-3804";"1111133804";"11-1113-3804";
"1111133815";"11-1113-3815";"1111133815";"11-1113-3815";
"1111133826";"11-1113-3826";"1111133826";"11-1113-3826";
"1111133837";"11-1113-3837";"1111133837";"11-1113-3837";
"1111133848";"11-1113-3848";"1111133848";"11-1113-3848";
"1111133859";"11-1113-3859";"1111133859";"11-1113-3859";
"1111133870";"11-1113-3870";"1111133870";"11-1113-3870";
"1111133881";"11-1113-3881";"1111133881";"11-1113-3881";
"1111133892";"11-1113-3892";"1111133892";"11-1113-3892";
"1111133903";"11-1113-3903";"1111133903";"11-1113-3903";
"1111133914";"11-1113-3914";"1111133914";"11-1113-3914";
"1111133925";"11-1113-3925";"1111133925";"11-1113-3925";
"1111133936";"11-1113-3936";"1111133936";"11-1113-3936";
"1111133947";"11-1113-3947";"1111133947";"11-1113-3947";
"1111133958";"11-1113-3958";"1111133958";"11-1113-3958";
"1111133969";"11-1113-3969";"1111133969";"11-1113-3969";
"1111133980";"11-1113-3980";"1111133980";"11-1113-3980";
"1111133991";"11-1113-3991";"1111133991";"11-1113-3991";
"1111134002";"11-1113-4002";"1111134002";"11-1113-4002";
"1111134013";"11-1113-4013";"1111134013";"11-1113-4013";
"1111134024";"11-1113-4024";"1111134024";"11-1113-4024";
"1111134035";"11-1113-4035";"1111134035";"11-1113-4035";
"1111134046";"11-1113-4046";"1111134046";"11-1113-4046";
"1111134057";"11-1113-4057";"1111134057";"11-1113-4057";
"1111134068";"11-1113-4068";"1111134068";"11-1113-4068";
"1111134079";"11-1113-4079";"1111134079";"11-1113-4079";
"1111134090";"11-1113-4090";"1111134090";"11-1113-4090";
"1111134101";"11-1113-4101";"1111134101";"11-1113-4101";
"1111134112";"11-1113-4112";"1111134112";"11-1113-4112";
"1111134123";"11-1113-4123";"1111134123";"11-1113-4123";
"1111134134";"11-1113-4134";"1111134134";"11-1113-4134";
"1111134145";"11-1113-4145";"1111134145";"11-1113-4145";
"1111134156";"11-1113-4156";"1111134156";"11-1113-4156";
"1111134167";"11-1113-4167";"1111134167";"11-1113-4167";
"1111134178";"11-1113-4178";"1111134178";"11-1113-4178";
"1111134189";"11-1113-4189";"1111134189";"11-1113-4189";
"1111134200";"11-1113-4200";"1111134200";"11-1113-4200";
"1111134211";"11-1113-4211";"1111134211";"11-1113-4211";
"1111134222";"11-1113-4222";"1111134222";"11-1113-4222";
"1111134233";"11-1113-4233";"1111134233";"11-1113-4233";
"1111134244";"11-1113-4244";"1111134244";"11-1113-4244";
"1111134255";"11-1113-4255";"1111134255";"11-1113-4255";
"1111134266";"11-1113-4266";"1111134266";"11-1113-4266";
"1111134277";"11-1113-4277";"1111134277";"11-1113-4277";
"1111134288";"11-1113-4288";"1111134288";"11-1113-4288";
"1111134299";"11-1113-4299";"1111134299";"11-1113-4299";
"1111134310";"11-1113-4310";"1111134310";"11-1113-4310";
"1111134321";"11-1113-4321";"1111134321";"11-1113-4321";
"1111134332";"11-1113-4332";"1111134332";"11-1113-4332";
"1111134343";"11-1113-4343";"1111134343";"11-1113-4343";
"1111134354";"11-1113-4354";"1111134354";"11-1113-4354";
"1111134365";"11-1113-4365";"1111134365";"11-1113-4365";
"1111134376";"11-1113-4376";"1111134376";"11-1113-4376";
"1111134387";"11-1113-4387";"1111134387";"11-1113-4387";
"1111134398";"11-1113-4398";"1111134398";"11-1113-4398";
"1111134409";"11-1113-4409";"1111134409";"11-1113-4409";
"1111134420";"11-1113-4420";"1111134420";"11-1113-4420";
"1111134431";"11-1113-4431";"1111134431";"11-1113-4431";
"1111134442";"11-1113-4442";"1111134442";"11-1113-4442";
"1111134453";"11-1113-4453";"1111134453";"11-1113-4453";
"1111134464";"11-1113-4464";"1111134464";"11-1113-4464";
"1111134475";"11-1113-4475";"1111134475";"11-1113-4475";
"1111134486";"11-1113-4486";"1111134486";"11-1113-4486";
"1111134497";"11-1113-4497";"1111134497";"11-1113-4497";
"1111134508";"11-1113-4508";"1111134508";"11-1113-4508";
"1111134519";"11-1113-4519";"1111134519";"11-1113-4519";
"1111134530";"11-1113-4530";"1111134530";"11-1113-4530";
"1111134541";"11-1113-4541";"1111134541";"11-1113-4541";
"1111134552";"11-1113-4552";"1111134552";"11-1113-4552";
"1111134563";"11-1113-4563";"1111134563";"11-1113-4563";
"1111134574";"11-1113-4574";"1111134574";"11-1113-4574";
"1111134585";"11-1113-4585";"1111134585";"11-1113-4585";
"1111134596";"11-1113-4596";"1111134596";"11-1113-4596";
"1111134607";"11-1113-4607";"1111134607";"11-1113-4607";
"1111134618";"11-1113-4618";"1111134618";"11-1113-4618";
"1111134629";"11-1113-4629";"1111134629";"11-1113-4629";
"1111134640";"11-1113-4640";"1111134640";"11-1113-4640";
"1111134651";"11-1113-4651";"1111134651";"11-1113-4651";
"1111134662";"11-1113-4662";"1111134662";"11-1113-4662";
"1111134673";"11-1113-4673";"1111134673";"11-1113-4673";
"1111134684";"11-1113-4684";"1111134684";"11-1113-4684";
"1111134695";"11-1113-4695";"1111134695";"11-1113-4695";
"1111134706";"11-1113-4706";"1111134706";"11-1113-4706";
"1111134717";"11-1113-4717";"1111134717";"11-1113-4717";
"1111134728";"11-1113-4728";"1111134728";"11-1113-4728";
"1111134739";"11-1113-4739";"1111134739";"11-1113-4739";
"1111134750";"11-1113-4750";"1111134750";"11-1113-4750";
"1111134761";"11-1113-4761";"1111134761";"11-1113-4761";
"1111134772";"11-1113-4772";"1111134772";"11-1113-4772";
"1111134783";"11-1113-4783";"1111134783";"11-1113-4783";
"1111134794";"11-1113-4794";"1111134794";"11-1113-4794";
"1111134805";"11-1113-4805";"1111134805";"11-1113-4805";
"1111134816";"11-1113-4816";"1111134816";"11-1113-4816";
"1111134827";"11-1113-4827";"1111134827";"11-1113-4827";
"1111134838";"11-1113-4838";"1111134838";"11-1113-4838";
"1111134849";"11-1113-4849";"1111134849";"11-1113-4849";
"1111134860";"11-1113-4860";"1111134860";"11-1113-4860";
"1111134871";"11-1113-4871";"1111134871";"11-1113-4871";
"1111134882";"11-1113-4882";"1111134882";"11-1113-4882";
"1111134893";"11-1113-4893";"1111134893";"11-1113-4893";
"1111134904";"11-1113-4904";"1111134904";"11-1113-4904";
"1111134915";"11-1113-4915";"1111134915";"11-1113-4915";
"1111134926";"11-1113-4926";"1111134926";"11-1113-4926";
"1111134937";"11-1113-4937";"1111134937";"11-1113-4937";
"1111134948";"11-1113-4948";"1111134948";"11-1113-4948";
"1111134959";"11-1113-4959";"1111134959";"11-1113-4959";
"1111134970";"11-1113-4970";"1111134970";"11-1113-4970";
"1111134981";"11-1113-4981";"1111134981";"11-1113-4981";
"1111134992";"11-1113-4992";"1111134992";"11-1113-4992";
"1111135003";"11-1113-5003";"1111135003";"11-1113-5003";
"1111135014";"11-1113-5014";"1111135014";"11-1113-5014";
"1111135025";"11-1113-5025";"1111135025";"11-1113-5025";
"1111135036";"11-1113-5036";"1111135036";"11-1113-5036";
"1111135047";"11-1113-5047";"1111135047";"11-1113-5047";
"1111135058";"11-1113-5058";"1111135058";"11-1113-5058";
"1111135069";"11-1113-5069";"1111135069";"11-1113-5069";
"1111135080";"11-1113-5080";"1111135080";"11-1113-5080";
"1111135091";"11-1113-5091";"1111135091";"11-1113-5091";
"1111135102";"11-1113-5102";"1111135102";"11-1113-5102";
"1111135113";"11-1113-5113";"1111135113";"11-1113-5113";
"1111135124";"11-1113-5124";"1111135124";"11-1113-5124";
"1111135135";"11-1113-5135";"1111135135";"11-1113-5135";
"1111135146";"11-1113-5146";"1111135146";"11-1113-5146";
"1111135157";"11-1113-5157";"1111135157";"11-1113-5157";
"1111135168";"11-1113-5168";"1111135168";"11-1113-5168";
"1111135179";"11-1113-5179";"1111135179";"11-1113-5179";
"1111135190";"11-1113-5190";"1111135190";"11-1113-5190";
"1111135201";"11-1113-5201";"1111135201";"11-1113-5201";
"1111135212";"11-1113-5212";"1111135212";"11-1113-5212";
"1111135223";"11-1113-5223";"1111135223";"11-1113-5223";
"1111135234";"11-1113-5234";"1111135234";"11-1113-5234";
"1111135245";"11-1113-5245";"1111135245";"11-1113-5245";
"1111135256";"11-1113-5256";"1111135256";"11-1113-5256";
"1111135267";"11-1113-5267";"1111135267";"11-1113-5267";
"1111135278";"11-1113-5278";"1111135278";"11-1113-5278";
"1111135289";"11-1113-5289";"1111135289";"11-1113-5289";
"1111135300";"11-1113-5300";"1111135300";"11-1113-5300";
"1111135311";"11-1113-5311";"1111135311";"11-1113-5311";
"1111135322";"11-1113-5322";"1111135322";"11-1113-5322";
"1111135333";"11-1113-5333";"1111135333";"11-1113-5333";
"1111135344";"11-1113-5344";"1111135344";"11-1113-5344";
"1111135355";"11-1113-5355";"1111135355";"11-1113-5355";
"1111135366";"11-1113-5366";"1111135366";"11-1113-5366";
"1111135377";"11-1113-5377";"1111135377";"11-1113-5377";
"1111135388";"11-1113-5388";"1111135388";"11-1113-5388";
"1111135399";"11-1113-5399";"1111135399";"11-1113-5399";
"1111135410";"11-1113-5410";"1111135410";"11-1113-5410";
"1111135421";"11-1113-5421";"1111135421";"11-1113-5421";
"1111135432";"11-1113-5432";"1111135432";"11-1113-5432";
"1111135443";"11-1113-5443";"1111135443";"11-1113-5443";
"1111135454";"11-1113-5454";"1111135454";"11-1113-5454";
"1111135465";"11-1113-5465";"1111135465";"11-1113-5465";
"1111135476";"11-1113-5476";"1111135476";"11-1113-5476";
"1111135487";"11-1113-5487";"1111135487";"11-1113-5487";
"1111135498";"11-1113-5498";"1111135498";"11-1113-5498";
"1111135509";"11-1113-5509";"1111135509";"11-1113-5509";
"1111135520";"11-1113-5520";"1111135520";"11-1113-5520";
"1111135531";"11-1113-5531";"1111135531";"11-1113-5531";
"1111135542";"11-1113-5542";"1111135542";"11-1113-5542";
"1111135553";"11-1113-5553";"1111135553";"11-1113-5553";
"1111135564";"11-1113-5564";"1111135564";"11-1113-5564";
"1111135575";"11-1113-5575";"1111135575";"11-1113-5575";
"1111135586";"11-1113-5586";"1111135586";"11-1113-5586";
"1111135597";"11-1113-5597";"1111135597";"11-1113-5597";
"1111135608";"11-1113-5608";"1111135608";"11-1113-5608";
"1111135619";"11-1113-5619";"1111135619";"11-1113-5619";
"1111135630";"11-1113-5630";"1111135630";"11-1113-5630";
"1111135641";"11-1113-5641";"1111135641";"11-1113-5641";
"1111135652";"11-1113-5652";"1111135652";"11-1113-5652";
"1111135663";"11-1113-5663";"1111135663";"11-1113-5663";
"1111135674";"11-1113-5674";"1111135674";"11-1113-5674";
"1111135685";"11-1113-5685";"1111135685";"11-1113-5685";
"1111135696";"11-1113-5696";"1111135696";"11-1113-5696";
"1111135707";"11-1113-5707";"1111135707";"11-1113-5707";
"1111135718";"11-1113-5718";"1111135718";"11-1113-5718";
"1111135729";"11-1113-5729";"1111135729";"11-1113-5729";
"1111135740";"11-1113-5740";"1111135740";"11-1113-5740";
"1111135751";"11-1113-5751";"1111135751";"11-1113-5751";
"1111135762";"11-1113-5762";"1111135762";"11-1113-5762";
"1111135773";"11-1113-5773";"1111135773";"11-1113-5773";
"1111135784";"11-1113-5784";"1111135784";"11-1113-5784";
"1111135795";"11-1113-5795";"1111135795";"11-1113-5795";
"1111135806";"11-1113-5806";"1111135806";"11-1113-5806";
"1111135817";"11-1113-5817";"1111135817";"11-1113-5817";
"1111135828";"11-1113-5828";"1111135828";"11-1113-5828";
"1111135839";"11-1113-5839";"1111135839";"11-1113-5839";
"1111135850";"11-1113-5850";"1111135850";"11-1113-5850";
"1111135861";"11-1113-5861";"1111135861";"11-1113-5861";
"1111135872";"11-1113-5872";"1111135872";"11-1113-5872";
"1111135883";"11-1113-5883";"1111135883";"11-1113-5883";
"1111135894";"11-1113-5894";"1111135894";"11-1113-5894";
"1111135905";"11-1113-5905";"1111135905";"11-1113-5905";
"1111135916";"11-1113-5916";"1111135916";"11-1113-5916";
"1111135927";"11-1113-5927";"1111135927";"11-1113-5927";
"1111135938";"11-1113-5938";"1111135938";"11-1113-5938";
"1111135949";"11-1113-5949";"1111135949";"11-1113-5949";
"1111135960";"11-1113-5960";"1111135960";"11-1113-5960";
"1111135971";"11-1113-5971";"1111135971";"11-1113-5971";
"1111135982";"11-1113-5982";"1111135982";"11-1113-5982";
"1111135993";"11-1113-5993";"1111135993";"11-1113-5993";
"1111136004";"11-1113-6004";"1111136004";"11-1113-6004";
"1111136015";"11-1113-6015";"1111136015";"11-1113-6015";
"1111136026";"11-1113-6026";"1111136026";"11-1113-6026";
"1111136037";"11-1113-6037";"1111136037";"11-1113-6037";
"1111136048";"11-1113-6048";"1111136048";"11-1113-6048";
"1111136059";"11-1113-6059";"1111136059";"11-1113-6059";
"1111136070";"11-1113-6070";"1111136070";"11-1113-6070";
"1111136081";"11-1113-6081";"1111136081";"11-1113-6081";
"1111136092";"11-1113-6092";"1111136092";"11-1113-6092";
"1111136103";"11-1113-6103";"1111136103";"11-1113-6103";
"1111136114";"11-1113-6114";"1111136114";"11-1113-6114";
"1111136125";"11-1113-6125";"1111136125";"11-1113-6125";
"1111136136";"11-1113-6136";"1111136136";"11-1113-6136";
"1111136147";"11-1113-6147";"1111136147";"11-1113-6147";
"1111136158";"11-1113-6158";"1111136158";"11-1113-6158";
"1111136169";"11-1113-6169";"1111136169";"11-1113-6169";
"1111136180";"11-1113-6180";"1111136180";"11-1113-6180";
"1111136191";"11-1113-6191";"1111136191";"11-1113-6191";
"1111136202";"11-1113-6202";"1111136202";"11-1113-6202";
"1111136213";"11-1113-6213";"1111136213";"11-1113-6213";
"1111136224";"11-1113-6224";"1111136224";"11-1113-6224";
"1111136235";"11-1113-6235";"1111136235";"11-1113-6235";
"1111136246";"11-1113-6246";"1111136246";"11-1113-6246";
"1111136257";"11-1113-6257";"1111136257";"11-1113-6257";
"1111136268";"11-1113-6268";"1111136268";"11-1113-6268";
"1111136279";"11-1113-6279";"1111136279";"11-1113-6279";
"1111136290";"11-1113-6290";"1111136290";"11-1113-6290";
"1111136301";"11-1113-6301";"1111136301";"11-1113-6301";
"1111136312";"11-1113-6312";"1111136312";"11-1113-6312";
"1111136323";"11-1113-6323";"1111136323";"11-1113-6323";
"1111136334";"11-1113-6334";"1111136334";"11-1113-6334";
"1111136345";"11-1113-6345";"1111136345";"11-1113-6345";
"1111136356";"11-1113-6356";"1111136356";"11-1113-6356";
"1111136367";"11-1113-6367";"1111136367";"11-1113-6367";
"1111136378";"11-1113-6378";"1111136378";"11-1113-6378";
"1111136389";"11-1113-6389";"1111136389";"11-1113-6389";
"1111136400";"11-1113-6400";"1111136400";"11-1113-6400";
"1111136411";"11-1113-6411";"1111136411";"11-1113-6411";
"1111136422";"11-1113-6422";"1111136422";"11-1113-6422";
"1111136433";"11-1113-6433";"1111136433";"11-1113-6433";
"1111136444";"11-1113-6444";"1111136444";"11-1113-6444";
"1111136455";"11-1113-6455";"1111136455";"11-1113-6455";
"1111136466";"11-1113-6466";"1111136466";"11-1113-6466";
"1111136477";"11-1113-6477";"1111136477";"11-1113-6477";
"1111136488";"11-1113-6488";"1111136488";"11-1113-6488";
"1111136499";"11-1113-6499";"1111136499";"11-1113-6499";
"1111136510";"11-1113-6510";"1111136510";"11-1113-6510";
"1111136521";"11-1113-6521";"1111136521";"11-1113-6521";
"1111136532";"11-1113-6532";"1111136532";"11-1113-6532";
"1111136543";"11-1113-6543";"1111136543";"11-1113-6543";
"1111136554";"11-1113-6554";"1111136554";"11-1113-6554";
"1111136565";"11-1113-6565";"1111136565";"11-1113-6565";
"1111136576";"11-1113-6576";"1111136576";"11-1113-6576";
"1111136587";"11-1113-6587";"1111136587";"11-1113-6587";
"1111136598";"11-1113-6598";"1111136598";"11-1113-6598";
"1111136609";"11-1113-6609";"1111136609";"11-1113-6609";
"1111136620";"11-1113-6620";"1111136620";"11-1113-6620";
"1111136631";"11-1113-6631";"1111136631";"11-1113-6631";
"1111136642";"11-1113-6642";"1111136642";"11-1113-6642";
"1111136653";"11-1113-6653";"1111136653";"11-1113-6653";
"1111136664";"11-1113-6664";"1111136664";"11-1113-6664";
"1111136675";"11-1113-6675";"1111136675";"11-1113-6675";
"1111136686";"11-1113-6686";"1111136686";"11-1113-6686";
"1111136697";"11-1113-6697";"1111136697";"11-1113-6697";
"1111136708";"11-1113-6708";"1111136708";"11-1113-6708";
"1111136719";"11-1113-6719";"1111136719";"11-1113-6719";
"1111136730";"11-1113-6730";"1111136730";"11-1113-6730";
"1111136741";"11-1113-6741";"1111136741";"11-1113-6741";
"1111136752";"11-1113-6752";"1111136752";"11-1113-6752";
"1111136763";"11-1113-6763";"1111136763";"11-1113-6763";
"1111136774";"11-1113-6774";"1111136774";"11-1113-6774";
"1111136785";"11-1113-6785";"1111136785";"11-1113-6785";
"1111136796";"11-1113-6796";"1111136796";"11-1113-6796";
"1111136807";"11-1113-6807";"1111136807";"11-1113-6807";
"1111136818";"11-1113-6818";"1111136818";"11-1113-6818";
"1111136829";"11-1113-6829";"1111136829";"11-1113-6829";
"1111136840";"11-1113-6840";"1111136840";"11-1113-6840";
"1111136851";"11-1113-6851";"1111136851";"11-1113-6851";
"1111136862";"11-1113-6862";"1111136862";"11-1113-6862";
"1111136873";"11-1113-6873";"1111136873";"11-1113-6873";
"1111136884";"11-1113-6884";"1111136884";"11-1113-6884";
"1111136895";"11-1113-6895";"1111136895";"11-1113-6895";
"1111136906";"11-1113-6906";"1111136906";"11-1113-6906";
"1111136917";"11-1113-6917";"1111136917";"11-1113-6917";
"1111136928";"11-1113-6928";"1111136928";"11-1113-6928";
"1111136939";"11-1113-6939";"1111136939";"11-1113-6939";
"1111136950";"11-1113-6950";"1111136950";"11-1113-6950";
"1111136961";"11-1113-6961";"1111136961";"11-1113-6961";
"1111136972";"11-1113-6972";"1111136972";"11-1113-6972";
"1111136983";"11-1113-6983";"1111136983";"11-1113-6983";
"1111136994";"11-1113-6994";"1111136994";"11-1113-6994";
"1111137005";"11-1113-7005";"1111137005";"11-1113-7005";
"1111137016";"11-1113-7016";"1111137016";"11-1113-7016";
"1111137027";"11-1113-7027";"1111137027";"11-1113-7027";
"1111137038";"11-1113-7038";"1111137038";"11-1113-7038";
"1111137049";"11-1113-7049";"1111137049";"11-1113-7049";
"1111137060";"11-1113-7060";"1111137060";"11-1113-7060";
"1111137071";"11-1113-7071";"1111137071";"11-1113-7071";
"1111137082";"11-1113-7082";"1111137082";"11-1113-7082";
"1111137093";"11-1113-7093";"1111137093";"11-1113-7093";
"1111137104";"11-1113-7104";"1111137104";"11-1113-7104";
"1111137115";"11-1113-7115";"1111137115";"11-1113-7115";
"1111137126";"11-1113-7126";"1111137126";"11-1113-7126";
"1111137137";"11-1113-7137";"1111137137";"11-1113-7137";
"1111137148";"11-1113-7148";"1111137148";"11-1113-7148";
"1111137159";"11-1113-7159";"1111137159";"11-1113-7159";
"1111137170";"11-1113-7170";"1111137170";"11-1113-7170";
"1111137181";"11-1113-7181";"1111137181";"11-1113-7181";
"1111137192";"11-1113-7192";"1111137192";"11-1113-7192";
"1111137203";"11-1113-7203";"1111137203";"11-1113-7203";
"1111137214";"11-1113-7214";"1111137214";"11-1113-7214";
"1111137225";"11-1113-7225";"1111137225";"11-1113-7225";
"1111137236";"11-1113-7236";"1111137236";"11-1113-7236";
"1111137247";"11-1113-7247";"1111137247";"11-1113-7247";
"1111137258";"11-1113-7258";"1111137258";"11-1113-7258";
"1111137269";"11-1113-7269";"1111137269";"11-1113-7269";
"1111137280";"11-1113-7280";"1111137280";"11-1113-7280";
"1111137291";"11-1113-7291";"1111137291";"11-1113-7291";
"1111137302";"11-1113-7302";"1111137302";"11-1113-7302";
"1111137313";"11-1113-7313";"1111137313";"11-1113-7313";
"1111137324";"11-1113-7324";"1111137324";"11-1113-7324";
"1111137335";"11-1113-7335";"1111137335";"11-1113-7335";
"1111137346";"11-1113-7346";"1111137346";"11-1113-7346";
"1111137357";"11-1113-7357";"1111137357";"11-1113-7357";
"1111137368";"11-1113-7368";"1111137368";"11-1113-7368";
"1111137379";"11-1113-7379";"1111137379";"11-1113-7379";
"1111137390";"11-1113-7390";"1111137390";"11-1113-7390";
"1111137401";"11-1113-7401";"1111137401";"11-1113-7401";
"1111137412";"11-1113-7412";"1111137412";"11-1113-7412";
"1111137423";"11-1113-7423";"1111137423";"11-1113-7423";
"1111137434";"11-1113-7434";"1111137434";"11-1113-7434";
"1111137445";"11-1113-7445";"1111137445";"11-1113-7445";
"1111137456";"11-1113-7456";"1111137456";"11-1113-7456";
"1111137467";"11-1113-7467";"1111137467";"11-1113-7467";
"1111137478";"11-1113-7478";"1111137478";"11-1113-7478";
"1111137489";"11-1113-7489";"1111137489";"11-1113-7489";
"1111137500";"11-1113-7500";"1111137500";"11-1113-7500";
"1111137511";"11-1113-7511";"1111137511";"11-1113-7511";
"1111137522";"11-1113-7522";"1111137522";"11-1113-7522";
"1111137533";"11-1113-7533";"1111137533";"11-1113-7533";
"1111137544";"11-1113-7544";"1111137544";"11-1113-7544";
"1111137555";"11-1113-7555";"1111137555";"11-1113-7555";
"1111137566";"11-1113-7566";"1111137566";"11-1113-7566";
"1111137577";"11-1113-7577";"1111137577";"11-1113-7577";
"1111137588";"11-1113-7588";"1111137588";"11-1113-7588";
"1111137599";"11-1113-7599";"1111137599";"11-1113-7599";
"1111137610";"11-1113-7610";"1111137610";"11-1113-7610";
"1111137621";"11-1113-7621";"1111137621";"11-1113-7621";
"1111137632";"11-1113-7632";"1111137632";"11-1113-7632";
"1111137643";"11-1113-7643";"1111137643";"11-1113-7643";
"1111137654";"11-1113-7654";"1111137654";"11-1113-7654";
"1111137665";"11-1113-7665";"1111137665";"11-1113-7665";
"1111137676";"11-1113-7676";"1111137676";"11-1113-7676";
"1111137687";"11-1113-7687";"1111137687";"11-1113-7687";
"1111137698";"11-1113-7698";"1111137698";"11-1113-7698";
"1111137709";"11-1113-7709";"1111137709";"11-1113-7709";
"1111137720";"11-1113-7720";"1111137720";"11-1113-7720";
"1111137731";"11-1113-7731";"1111137731";"11-1113-7731";
"1111137742";"11-1113-7742";"1111137742";"11-1113-7742";
"1111137753";"11-1113-7753";"1111137753";"11-1113-7753";
"1111137764";"11-1113-7764";"1111137764";"11-1113-7764";
"1111137775";"11-1113-7775";"1111137775";"11-1113-7775";
"1111137786";"11-1113-7786";"1111137786";"11-1113-7786";
"1111137797";"11-1113-7797";"1111137797";"11-1113-7797";
"1111137808";"11-1113-7808";"1111137808";"11-1113-7808";
"1111137819";"11-1113-7819";"1111137819";"11-1113-7819";
"1111137830";"11-1113-7830";"1111137830";"11-1113-7830";
"1111137841";"11-1113-7841";"1111137841";"11-1113-7841";
"1111137852";"11-1113-7852";"1111137852";"11-1113-7852";
"1111137863";"11-1113-7863";"1111137863";"11-1113-7863";
"1111137874";"11-1113-7874";"1111137874";"11-1113-7874";
"1111137885";"11-1113-7885";"1111137885";"11-1113-7885";
"1111137896";"11-1113-7896";"1111137896";"11-1113-7896";
"1111137907";"11-1113-7907";"1111137907";"11-1113-7907";
"1111137918";"11-1113-7918";"1111137918";"11-1113-7918";
"1111137929";"11-1113-7929";"1111137929";"11-1113-7929";
"1111137940";"11-1113-7940";"1111137940";"11-1113-7940";
"1111137951";"11-1113-7951";"1111137951";"11-1113-7951";
"1111137962";"11-1113-7962";"1111137962";"11-1113-7962";
"1111137973";"11-1113-7973";"1111137973";"11-1113-7973";
"1111137984";"11-1113-7984";"1111137984";"11-1113-7984";
"1111137995";"11-1113-7995";"1111137995";"11-1113-7995";
"1111138006";"11-1113-8006";"1111138006";"11-1113-8006";
"1111138017";"11-1113-8017";"1111138017";"11-1113-8017";
"1111138028";"11-1113-8028";"1111138028";"11-1113-8028";
"1111138039";"11-1113-8039";"1111138039";"11-1113-8039";
"1111138050";"11-1113-8050";"1111138050";"11-1113-8050";
"1111138061";"11-1113-8061";"1111138061";"11-1113-8061";
"1111138072";"11-1113-8072";"1111138072";"11-1113-8072";
"1111138083";"11-1113-8083";"1111138083";"11-1113-8083";
"1111138094";"11-1113-8094";"1111138094";"11-1113-8094";
"1111138105";"11-1113-8105";"1111138105";"11-1113-8105";
"1111138116";"11-1113-8116";"1111138116";"11-1113-8116";
"1111138127";"11-1113-8127";"1111138127";"11-1113-8127";
"1111138138";"11-1113-8138";"1111138138";"11-1113-8138";
"1111138149";"11-1113-8149";"1111138149";"11-1113-8149";
"1111138160";"11-1113-8160";"1111138160";"11-1113-8160";
"1111138171";"11-1113-8171";"1111138171";"11-1113-8171";
"1111138182";"11-1113-8182";"1111138182";"11-1113-8182";
"1111138193";"11-1113-8193";"1111138193";"11-1113-8193";
"1111138204";"11-1113-8204";"1111138204";"11-1113-8204";
"1111138215";"11-1113-8215";"1111138215";"11-1113-8215";
"1111138226";"11-1113-8226";"1111138226";"11-1113-8226";
"1111138237";"11-1113-8237";"1111138237";"11-1113-8237";
"1111138248";"11-1113-8248";"1111138248";"11-1113-8248";
"1111138259";"11-1113-8259";"1111138259";"11-1113-8259";
"1111138270";"11-1113-8270";"1111138270";"11-1113-8270";
"1111138281";"11-1113-8281";"1111138281";"11-1113-8281";
"1111138292";"11-1113-8292";"1111138292";"11-1113-8292";
"1111138303";"11-1113-8303";"1111138303";"11-1113-8303";
"1111138314";"11-1113-8314";"1111138314";"11-1113-8314";
"1111138325";"11-1113-8325";"1111138325";"11-1113-8325";
"1111138336";"11-1113-8336";"1111138336";"11-1113-8336";
"1111138347";"11-1113-8347";"1111138347";"11-1113-8347";
"1111138358";"11-1113-8358";"1111138358";"11-1113-8358";
"1111138369";"11-1113-8369";"1111138369";"11-1113-8369";
"1111138380";"11-1113-8380";"1111138380";"11-1113-8380";
"1111138391";"11-1113-8391";"1111138391";"11-1113-8391";
"1111138402";"11-1113-8402";"1111138402";"11-1113-8402";
"1111138413";"11-1113-8413";"1111138413";"11-1113-8413";
"1111138424";"11-1113-8424";"1111138424";"11-1113-8424";
"1111138435";"11-1113-8435";"1111138435";"11-1113-8435";
"1111138446";"11-1113-8446";"1111138446";"11-1113-8446";
"1111138457";"11-1113-8457";"1111138457";"11-1113-8457";
"1111138468";"11-1113-8468";"1111138468";"11-1113-8468";
"1111138479";"11-1113-8479";"1111138479";"11-1113-8479";
"1111138490";"11-1113-8490";"1111138490";"11-1113-8490";
"1111138501";"11-1113-8501";"1111138501";"11-1113-8501";
"1111138512";"11-1113-8512";"1111138512";"11-1113-8512";
"1111138523";"11-1113-8523";"1111138523";"11-1113-8523";
"1111138534";"11-1113-8534";"1111138534";"11-1113-8534";
"1111138545";"11-1113-8545";"1111138545";"11-1113-8545";
"1111138556";"11-1113-8556";"1111138556";"11-1113-8556";
"1111138567";"11-1113-8567";"1111138567";"11-1113-8567";
"1111138578";"11-1113-8578";"1111138578";"11-1113-8578";
"1111138589";"11-1113-8589";"1111138589";"11-1113-8589";
"1111138600";"11-1113-8600";"1111138600";"11-1113-8600";
"1111138611";"11-1113-8611";"1111138611";"11-1113-8611";
"1111138622";"11-1113-8622";"1111138622";"11-1113-8622";
